2020-08-23 07:25:08,841 [AUDIT] Token created by 'anonymous': tokenId='f974c77c-f070-4cd1-9c72-8abc4578dfd6', issuer='jfrou@01egd39nq95agxd59x2aac8jxb', subject='jfrou@01egd39nq95agxd59x2aac8jxb', expiry=none, refreshable=false
2020-08-23 08:05:21,641 [AUDIT] Token created by 'jffe@000': tokenId='bfcb7bf2-e304-4fdb-b101-3a4d659db9a7', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1598170521641, refreshable=false
2020-08-23 08:05:29,241 [AUDIT] Token created by 'jffe@000': tokenId='7e49ef2e-072d-4ab2-9652-e582527ef915', issuer='jffe@000', subject='jffe@000', expiry=1598170529241, refreshable=false
2020-08-23 08:05:29,243 [AUDIT] Token created by 'jffe@000': tokenId='214b2baa-5099-4606-a2da-577142e65eac', issuer='jffe@000', subject='jffe@000', expiry=1598170529243, refreshable=false
2020-08-23 08:05:29,245 [AUDIT] Token created by 'jffe@000': tokenId='9763b9c7-c6dd-4903-90a6-8a13b08997a4', issuer='jffe@000', subject='jffe@000', expiry=1598170529245, refreshable=false
2020-08-23 08:05:29,249 [AUDIT] Token created by 'jffe@000': tokenId='51694ac4-fb21-4aa1-9745-5e4c022849b7', issuer='jffe@000', subject='jffe@000', expiry=1598170529248, refreshable=false
2020-08-23 08:07:34,555 [AUDIT] Token created by 'jffe@000': tokenId='1fc63c8c-a74d-4349-9bf3-de280a68c187', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1598170654555, refreshable=false
2020-08-23 08:08:02,021 [AUDIT] Token revoked by 'jffe@000': tokenId='b7e557a8-0366-493f-b059-d075cd9f96a4', issuer='jffe@000', subject='admin', expiry=1598171647980, refreshable=true
2020-08-23 08:08:02,138 [AUDIT] Token created by 'jffe@000': tokenId='299181f5-195e-40ed-9c31-e00d022fd267', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1598170682138, refreshable=false
2020-08-23 08:08:02,150 [AUDIT] Token created by 'jffe@000': tokenId='5bf16a7b-0e66-49f3-ba28-d2d93c17cb10', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1598170682150, refreshable=false
2020-08-23 08:08:06,154 [AUDIT] Token created by 'jffe@000': tokenId='13384972-9c45-479e-b88f-0445aa41c8ac', issuer='jffe@000', subject='maven', expiry=1598171886138, refreshable=true
2020-08-23 08:08:06,200 [AUDIT] Token created by 'jffe@000': tokenId='53ceda12-f6b7-4d72-b8ef-9edbced44c2a', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1598170686199, refreshable=false
2020-08-23 08:08:06,207 [AUDIT] Token created by 'jffe@000': tokenId='30f9b9d8-bec9-4ca3-8cef-d4970357322d', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1598170686202, refreshable=false
2020-08-23 08:08:06,207 [AUDIT] Token created by 'jffe@000': tokenId='f68e08dc-3b60-4ae4-9d0a-f3df24bc4c43', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1598170686207, refreshable=false
2020-08-23 08:09:10,849 [AUDIT] Token revoked by 'jffe@000': tokenId='13384972-9c45-479e-b88f-0445aa41c8ac', issuer='jffe@000', subject='maven', expiry=1598171886138, refreshable=true
2020-08-23 08:09:21,600 [AUDIT] Token created by 'jffe@000': tokenId='ff1a7f30-9b09-40a2-8712-e02b4d3453e4', issuer='jffe@000', subject='admin', expiry=1598171961598, refreshable=true
2020-08-23 08:09:21,667 [AUDIT] Token created by 'jffe@000': tokenId='893ecf3b-1d88-4a2e-91a6-579be9e4e8db', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1598170761667, refreshable=false
2020-08-23 08:09:21,674 [AUDIT] Token created by 'jffe@000': tokenId='abac7f20-7203-4b3e-bbbb-7f0032ca27d4', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1598170761674, refreshable=false
2020-08-23 08:09:21,680 [AUDIT] Token created by 'jffe@000': tokenId='46043878-595c-40bc-bc64-72cdf9b2d7c3', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1598170761679, refreshable=false
2020-08-23 08:09:21,926 [AUDIT] Token created by 'jffe@000': tokenId='c87098cc-8d98-4aca-be79-f74fddc44bcd', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1598170761926, refreshable=false
2020-08-23 08:14:34,214 [AUDIT] Token refreshed by 'jffe@000': oldTokenId='ff1a7f30-9b09-40a2-8712-e02b4d3453e4', tokenId='f7f24480-393a-40d1-b5bd-4c3e8a767384', issuer='jffe@000', subject='admin', expiry=1598172274204, refreshable=true
2020-08-23 08:15:29,343 [AUDIT] Token created by 'jffe@000': tokenId='90fdca3c-a879-4a59-bdc3-47a6f818ceee', issuer='jffe@000', subject='jffe@000', expiry=1598171129343, refreshable=false
2020-08-23 08:15:29,343 [AUDIT] Token created by 'jffe@000': tokenId='21815c40-b057-4257-9cbb-b5014418b1a8', issuer='jffe@000', subject='jffe@000', expiry=1598171129343, refreshable=false
2020-08-23 08:15:29,352 [AUDIT] Token created by 'jffe@000': tokenId='cb4687bc-3393-4caf-9b48-caee79ae94d3', issuer='jffe@000', subject='jffe@000', expiry=1598171129351, refreshable=false
2020-08-23 08:15:29,355 [AUDIT] Token created by 'jffe@000': tokenId='15d3e213-d42a-44ed-be84-e559c2dcde39', issuer='jffe@000', subject='jffe@000', expiry=1598171129355, refreshable=false
2020-08-23 08:17:46,481 [AUDIT] Token created by 'jffe@000': tokenId='e3b125b0-66a9-48c5-b30a-1051aeef0425', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1598171266481, refreshable=false
2020-08-23 08:19:17,411 [AUDIT] Token revoked by 'jffe@000': tokenId='f7f24480-393a-40d1-b5bd-4c3e8a767384', issuer='jffe@000', subject='admin', expiry=1598172274204, refreshable=true
2020-08-23 08:19:17,532 [AUDIT] Token created by 'jffe@000': tokenId='2f683c51-7e03-43fc-8f9f-1a8e811b34d7', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1598171357532, refreshable=false
2020-08-23 08:19:21,098 [AUDIT] Token created by 'jffe@000': tokenId='0bb94175-7066-4125-9861-ef506f886367', issuer='jffe@000', subject='maven', expiry=1598172561095, refreshable=true
2020-08-23 08:19:21,142 [AUDIT] Token created by 'jffe@000': tokenId='5d0dec2e-a400-405e-a8ca-f4352dd7fa68', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1598171361142, refreshable=false
2020-08-23 08:19:21,145 [AUDIT] Token created by 'jffe@000': tokenId='f7aaa50b-1b86-4500-b88b-857a07506215', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1598171361145, refreshable=false
2020-08-23 08:19:21,148 [AUDIT] Token created by 'jffe@000': tokenId='68c63b4d-f8f6-4426-8338-db04ec64f692', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1598171361145, refreshable=false
2020-08-23 08:20:23,138 [AUDIT] Token revoked by 'jffe@000': tokenId='0bb94175-7066-4125-9861-ef506f886367', issuer='jffe@000', subject='maven', expiry=1598172561095, refreshable=true
2020-08-23 08:20:27,205 [AUDIT] Token created by 'jffe@000': tokenId='3efc4453-d0f1-4d50-b73e-bad9f75c7545', issuer='jffe@000', subject='admin', expiry=1598172627203, refreshable=true
2020-08-23 08:20:27,267 [AUDIT] Token created by 'jffe@000': tokenId='03e6af93-0068-4387-9dc5-eae878a51089', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1598171427267, refreshable=false
2020-08-23 08:20:27,268 [AUDIT] Token created by 'jffe@000': tokenId='d5033e62-2ca9-4cb6-94e2-383b44342a06', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1598171427268, refreshable=false
2020-08-23 08:20:27,270 [AUDIT] Token created by 'jffe@000': tokenId='78bcb49e-adca-4513-ae63-d48560713645', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1598171427270, refreshable=false
2020-08-23 08:20:27,520 [AUDIT] Token created by 'jffe@000': tokenId='79b4db98-8e7a-41a1-a536-f0ec75788130', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1598171427520, refreshable=false
2020-08-23 08:24:01,554 [AUDIT] Token revoked by 'jffe@000': tokenId='3efc4453-d0f1-4d50-b73e-bad9f75c7545', issuer='jffe@000', subject='admin', expiry=1598172627203, refreshable=true
2020-08-23 08:24:08,359 [AUDIT] Token created by 'jffe@000': tokenId='1e3a6c11-ec39-4f27-8a11-7b04a48e99f4', issuer='jffe@000', subject='maven', expiry=1598172848354, refreshable=true
2020-08-23 08:24:08,434 [AUDIT] Token created by 'jffe@000': tokenId='66edcc27-ac0b-441a-b536-749708435129', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1598171648434, refreshable=false
2020-08-23 08:24:08,444 [AUDIT] Token created by 'jffe@000': tokenId='839f496e-be2f-4cc8-a9b0-b21915ab3c52', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1598171648444, refreshable=false
2020-08-23 08:24:08,451 [AUDIT] Token created by 'jffe@000': tokenId='265375fc-0478-4c4e-a65b-e0d3624e378f', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1598171648451, refreshable=false
2020-08-23 08:25:29,433 [AUDIT] Token created by 'jffe@000': tokenId='4ae0c912-1654-4845-8daa-4bcda3df90b2', issuer='jffe@000', subject='jffe@000', expiry=1598171729433, refreshable=false
